Model,Log Loss,Brier Score,AUC,Accuracy (@ 0.5)
Logistic Regression,0.6799147716338289,0.24347400925720833,0.5819175308306934,0.5655487804878049
XGBoost,0.6824031892617117,0.2446524053812027,0.5804384925708859,0.5574186991869918
