date,home_team,away_team,home_goals,away_goals,home_win
2021-11-04,FLA,WSH,5,4,1
2021-11-05,CGY,DAL,3,4,0
2021-11-05,SEA,BUF,5,2,1
2021-11-05,SJS,STL,3,5,0
2021-11-06,WPG,NYI,0,2,0
2021-11-06,WPG,CHI,5,1,1
2021-11-06,VAN,NSH,2,3,0
2021-11-06,TOR,BOS,5,2,1
2021-11-06,PIT,MIN,4,5,0
2021-11-06,OTT,TBL,3,5,0
2021-11-06,EDM,NYR,6,5,1
2021-11-06,LAK,NJD,3,2,1
2021-11-06,FLA,CAR,5,2,1
2021-11-06,WSH,PHI,1,2,0
2021-11-06,CBJ,COL,4,2,1
2021-11-06,BUF,DET,3,4,0
2021-11-06,ANA,ARI,3,1,1
2021-11-06,MTL,VGK,2,5,0
2021-11-07,DET,VGK,5,2,1
2021-11-07,SJS,NJD,2,3,0
2021-11-07,ARI,SEA,5,4,1
2021-11-07,CGY,NYR,6,0,1
2021-11-08,ANA,STL,4,1,1
2021-11-08,CHI,NSH,2,1,1
2021-11-08,MIN,NYI,5,2,1
2021-11-08,VAN,DAL,6,3,1
2021-11-09,NYR,FLA,4,3,1
2021-11-09,TOR,LAK,1,5,0
2021-11-09,WSH,BUF,5,3,1
2021-11-10,WPG,STL,2,3,0
2021-11-10,VGK,SEA,4,2,1
2021-11-10,VAN,ANA,2,3,0
2021-11-10,TBL,CAR,1,2,0
2021-11-10,NJD,FLA,7,3,1
2021-11-10,MTL,LAK,2,3,0
2021-11-10,CHI,PIT,3,2,1
2021-11-10,CGY,SJS,1,4,0
2021-11-10,BOS,OTT,3,2,1
2021-11-10,DET,EDM,4,2,1
2021-11-11,ARI,MIN,2,5,0
2021-11-11,DAL,NSH,2,4,0
2021-11-11,PHI,TOR,0,3,0
2021-11-12,SEA,ANA,4,7,0
2021-11-12,WPG,SJS,4,1,1
2021-11-12,VGK,MIN,3,2,1
2021-11-12,STL,NSH,3,4,0
2021-11-12,OTT,LAK,0,2,0
2021-11-12,PIT,FLA,3,2,1
2021-11-12,NJD,NYI,4,0,1
2021-11-12,MTL,CGY,4,2,1
2021-11-12,DET,WSH,0,2,0
2021-11-12,COL,VAN,7,1,1
2021-11-12,BOS,EDM,3,5,0
2021-11-13,TOR,CGY,2,1,1
2021-11-13,NJD,BOS,2,5,0
2021-11-13,CHI,ARI,2,1,1
2021-11-13,CAR,PHI,1,2,0
2021-11-13,BUF,EDM,3,2,1
2021-11-13,CBJ,WSH,3,4,0
2021-11-14,OTT,PIT,6,3,1
2021-11-14,WPG,LAK,3,2,1
2021-11-14,VGK,VAN,7,4,1
2021-11-14,TBL,FLA,3,2,1
2021-11-14,SEA,MIN,2,4,0
2021-11-14,OTT,CGY,0,4,0
2021-11-14,CAR,STL,3,2,1
2021-11-14,DET,MTL,3,2,1
2021-11-14,DAL,PHI,5,2,1
2021-11-14,COL,SJS,6,2,1
2021-11-14,CBJ,NYR,3,5,0
2021-11-14,BUF,TOR,4,5,0
2021-11-14,NSH,ARI,4,1,1
2021-11-15,WSH,PIT,6,1,1
2021-11-15,STL,EDM,4,5,0
2021-11-15,ANA,VAN,5,1,1
2021-11-15,BOS,MTL,5,2,1
2021-11-15,NYR,NJD,4,3,1
2021-11-16,CBJ,DET,5,3,1
2021-11-16,TBL,NYI,4,1,1
2021-11-17,WPG,EDM,5,2,1
2021-11-17,VGK,CAR,2,4,0
2021-11-17,TOR,NSH,3,0,1
2021-11-17,PIT,BUF,1,2,0
2021-11-17,PHI,CGY,2,1,1
