date,home_team,away_team,home_goals,away_goals,home_win,game_key,season,home_elo_pre,away_elo_pre,elo_diff,home_elo,away_elo,home_elo_post,away_elo_post,home_rolling_win_pct,home_rolling_goal_diff,rest_days_x,home_rest_days,away_rolling_win_pct,away_rolling_goal_diff,away_rest_days,home_home_rolling_win_pct,home_home_rolling_goal_diff,away_away_rolling_win_pct,away_away_rolling_goal_diff,rest_diff
2021-10-14,EDM,VAN,3,2,1,2021-10-14|EDM|VAN|3|2,2021,1500.0,1500.0,40.0,1500.0,1500.0,1506.6403254935656,1493.3596745064344,0.4,-0.7,3.0,3.0,0.5,0.4,3.0,0.6,-0.1,0.5,0.3,0.0
2021-10-14,FLA,PIT,5,4,1,2021-10-14|FLA|PIT|5|4,2021,1500.0,1508.3596745064344,31.64032549356557,1500.0,1508.3596745064344,1506.8188705926636,1501.5408039137708,0.3333333333333333,-2.0,3.0,3.0,1.0,4.0,2.0,0.0,-3.5,1.0,4.0,1.0
2021-10-14,NYR,DAL,2,3,0,2021-10-14|NYR|DAL|2|3,2021,1493.3596745064344,1500.0,33.35967450643443,1493.3596745064344,1500.0,1485.1417529200673,1508.217921586367,0.0,-4.0,1.0,1.0,0.5,-0.2,3.0,0.7,0.7,0.6,0.7,-2.0
2021-10-14,OTT,TOR,3,2,1,2021-10-14|OTT|TOR|3|2,2021,1500.0,1506.6403254935656,33.35967450643443,1500.0,1506.6403254935656,1506.782078413633,1499.8582470799327,0.2,-1.1,3.0,3.0,1.0,1.0,1.0,0.3,-1.1,0.7,1.5,2.0
2021-10-15,LAK,VGK,6,2,1,2021-10-15|LAK|VGK|6|2,2021,1500.0,1506.6403254935656,33.35967450643443,1500.0,1506.6403254935656,1506.782078413633,1499.8582470799327,0.3,-0.3,3.0,3.0,1.0,1.0,2.0,0.3,-0.7,0.1,-2.8,1.0
2021-10-15,NJD,CHI,4,3,1,2021-10-15|NJD|CHI|4|3,2021,1500.0,1493.3596745064344,46.64032549356557,1500.0,1493.3596745064344,1506.4991922238844,1486.86048228255,0.6,1.1,3.0,3.0,0.0,-2.0,1.0,0.7,1.3,0.0,-2.0,2.0
2021-10-15,NSH,SEA,3,4,0,2021-10-15|NSH|SEA|3|4,2021,1500.0,1493.3596745064344,46.64032549356557,1500.0,1493.3596745064344,1491.4991922238844,1501.86048228255,0.3,-1.1,3.0,3.0,0.0,-1.0,2.0,0.3,-0.8,0.0,-1.0,1.0
2021-10-15,PHI,VAN,4,5,0,2021-10-15|PHI|VAN|4|5,2021,1500.0,1493.3596745064344,46.64032549356557,1500.0,1493.3596745064344,1491.4991922238844,1501.86048228255,0.6,1.0,3.0,3.0,0.0,-1.0,1.0,0.5,0.7,0.0,-1.0,2.0
2021-10-16,ANA,MIN,1,2,0,2021-10-16|ANA|MIN|1|2,2021,1506.6403254935656,1500.0,46.64032549356557,1506.6403254935656,1500.0,1498.13951771745,1508.5008077761156,1.0,3.0,2.0,2.0,0.4,-1.2,3.0,1.0,3.0,0.4,-1.0,-1.0
2021-10-16,BOS,DAL,3,1,1,2021-10-16|BOS|DAL|3|1,2021,1500.0,1508.217921586367,31.782078413632917,1500.0,1508.217921586367,1506.8158359605643,1501.4020856258028,0.6,0.5,3.0,3.0,1.0,1.0,2.0,0.7,1.6,1.0,1.0,1.0
2021-10-16,BUF,ARI,2,1,1,2021-10-16|BUF|ARI|2|1,2021,1506.4991922238844,1493.3596745064344,53.13951771744996,1506.4991922238844,1493.3596745064344,1512.8609453962392,1486.9979213340796,1.0,4.0,2.0,2.0,0.0,-6.0,2.0,1.0,4.0,0.0,-6.0,0.0
2021-10-16,CBJ,SEA,2,1,1,2021-10-16|CBJ|SEA|2|1,2021,1506.6403254935656,1501.86048228255,44.77984321101553,1506.6403254935656,1501.86048228255,1513.1789921451702,1495.3218156309454,1.0,6.0,2.0,2.0,0.5,0.0,1.0,1.0,6.0,0.5,0.0,1.0
2021-10-16,DET,VAN,3,1,1,2021-10-16|DET|VAN|3|1,2021,1491.4627623370598,1501.86048228255,29.60228005450972,1491.4627623370598,1501.86048228255,1498.3252875737874,1494.9979570458224,0.0,-1.0,2.0,2.0,0.5,0.0,1.0,0.0,-1.0,0.5,0.0,1.0
2021-10-16,FLA,NYI,5,1,1,2021-10-16|FLA|NYI|5|1,2021,1506.8188705926636,1493.3596745064344,53.45919608622921,1506.8188705926636,1493.3596745064344,1513.1738828422813,1487.0046622568168,1.0,1.0,2.0,2.0,0.0,-3.0,2.0,1.0,1.0,0.0,-3.0,0.0
2021-10-16,MTL,NYR,1,3,0,2021-10-16|MTL|NYR|1|3,2021,1486.86048228255,1485.1417529200673,41.71872936248269,1486.86048228255,1485.1417529200673,1478.4642145295481,1493.5380206730692,0.0,-2.5,2.0,2.0,0.0,-2.5,2.0,0.4,-0.6,0.0,-4.0,0.0
2021-10-16,PIT,CHI,5,2,1,2021-10-16|PIT|CHI|5|2,2021,1501.5408039137708,1486.86048228255,54.68032163122075,1501.5408039137708,1486.86048228255,1507.8700843273632,1480.5312018689576,0.5,1.5,2.0,2.0,0.0,-1.5,1.0,0.3,-1.2,0.0,-1.5,1.0
2021-10-16,TOR,OTT,3,1,1,2021-10-16|TOR|OTT|3|1,2021,1499.8582470799327,1506.782078413633,33.076168666299736,1499.8582470799327,1506.782078413633,1506.6463898549707,1499.9939356385948,0.5,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.2,-1.4,0.0
2021-10-16,WSH,TBL,1,2,0,2021-10-16|WSH|TBL|1|2,2021,1506.6403254935656,1500.1775631565058,46.46276233705976,1506.6403254935656,1500.1775631565058,1498.1432827302237,1508.6746059198476,1.0,4.0,3.0,3.0,0.5,-1.5,2.0,1.0,4.0,1.0,1.0,1.0
2021-10-17,COL,STL,3,5,0,2021-10-17|COL|STL|3|5,2021,1506.6403254935656,1500.0,46.64032549356557,1506.6403254935656,1500.0,1498.13951771745,1508.5008077761156,1.0,2.0,3.0,3.0,0.4,-0.6,3.0,1.0,2.0,0.4,-0.4,0.0
2021-10-17,EDM,CGY,5,2,1,2021-10-17|EDM|CGY|5|2,2021,1506.6403254935656,1500.0,46.64032549356557,1506.6403254935656,1500.0,1513.13951771745,1493.5008077761156,1.0,1.0,3.0,3.0,0.7,1.1,3.0,1.0,1.0,0.6,0.1,0.0
